batch size,trial #,exact objective val,exact time,naive obective val,naive time,inexact objective val,inexact time,greedy objective val,greedy time
40,2,3359.13,0.8835868835449219,4998.94,0.0,3679.8900000000003,0.29096364974975586,3362.2200000000003,0.016655921936035156
40,3,3551.58,1.4415414333343506,4517.78,0.0,3881.7299999999996,0.3462233543395996,5041.719999999998,0.029527902603149414
40,4,4718.57,1.6571075916290283,5538.429999999999,0.0,5538.429999999999,0.49413251876831055,4845.1,0.02861928939819336
50,0,3639.7799999999997,3.221942901611328,6655.589999999999,0.0,6125.29,0.5349657535552979,5467.75,0.03245711326599121
50,1,4073.76,1.2069313526153564,7406.349999999999,0.0010993480682373047,5454.42,0.5422437191009521,6396.4800000000005,0.027591705322265625
50,2,5526.06,3.207214832305908,9489.48,0.0010004043579101562,5853.260000000001,0.6678037643432617,8848.740000000002,0.033090829849243164
50,3,4327.82,3.1662633419036865,5237.94,0.0010039806365966797,4863.8,0.49164533615112305,5090.960000000001,0.026442289352416992
50,4,4172.43,2.0354411602020264,7693.299999999999,0.0,7890.049999999999,0.4700462818145752,8646.830000000002,0.026185035705566406
60,0,2599.83,12.060531377792358,4260.85,0.0,3659.03,0.4932131767272949,3912.5600000000004,0.022449970245361328
60,1,2182.77,1.1927461624145508,4806.28,0.0,3029.8499999999995,0.4705052375793457,5369.469999999999,0.0208437442779541
60,2,2449.290000000002,4.852075576782227,4349.45,0.0010004043579101562,3679.46,0.6547954082489014,4760.0599999999995,0.030201435089111328
60,3,3686.6099999999997,5.104666233062744,6074.49,0.0014376640319824219,4284.95,0.7412161827087402,5053.25,0.03898167610168457
60,4,5498.66,3.3817451000213623,6566.04,0.0,6098.650000000001,0.6425096988677979,5782.59,0.03603482246398926
70,0,4592.9,2.7887461185455322,6973.579999999999,0.0,5780.36,0.6934244632720947,8359.960000000001,0.03696775436401367
70,1,6166.2699999999995,2.0961592197418213,11209.530000000002,0.0009999275207519531,9643.849999999999,0.7830281257629395,8866.890000000001,0.04013180732727051
70,2,5120.02,1.9997742176055908,7263.24,0.0010199546813964844,5211.43,0.8104321956634521,7607.71,0.0376737117767334
70,3,4901.960000000001,2.6684329509735107,7253.84,0.0010352134704589844,6331.760000000001,0.7475783824920654,6663.070000000001,0.04368138313293457
70,4,5849.969999999999,1.1753506660461426,7490.3099999999995,0.0,6117.19,0.5637340545654297,7332.94,0.03234100341796875
80,0,4259.95,1.8451733589172363,7543.3600000000015,0.0,6503.9400000000005,0.6199829578399658,8521.769999999999,0.0342559814453125
80,1,4800.709999999999,2.1703789234161377,6394.349999999999,0.0012955665588378906,6305.849999999999,0.7703812122344971,8702.21,0.044178009033203125
80,2,5593.490000000001,3.581329107284546,6823.51,0.0,6823.51,0.8577873706817627,8775.05,0.04497790336608887
80,3,5476.849999999999,2.0997138023376465,8381.93,0.0,6819.11,0.876394510269165,7227.53,0.04355907440185547
80,4,7708.63,3.117114305496216,11480.11,0.0,9001.050000000001,0.8293752670288086,11466.16,0.04074835777282715
90,0,4679.27,6.438287019729614,8490.199999999999,0.001016855239868164,5926.86,1.2078242301940918,7394.55,0.0851902961730957
90,1,6444.069999999999,1.9568781852722168,7780.700000000001,0.0,6833.16,1.1364142894744873,7581.68,0.051528215408325195
90,2,5076.98,21.724340438842773,8511.09,0.0010905265808105469,6202.980000000001,0.9506609439849854,8177.43,0.0492250919342041
90,3,5041.42,8.848918914794922,8777.38,0.0,6141.219999999999,0.9028115272521973,8995.220000000001,0.04595160484313965
90,4,7056.179999999999,1.8293328285217285,10245.130000000001,0.0,8156.5199999999995,1.0043325424194336,10517.14,0.04657316207885742
